Image,Caption
urn:cite:mid:sbb104imgs.sbb00000104_0000139.v1,"Folio 68, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000140.v1,"Folio 68, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000141.v1,"Folio 69, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000142.v1,"Folio 69, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000143.v1,"Folio 70, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000144.v1,"Folio 70, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000145.v1,"Folio 71, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000146.v1,"Folio 71, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000147.v1,"Folio 72, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000148.v1,"Folio 72, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000149.v1,"Folio 73, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000150.v1,"Folio 73, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000151.v1,"Folio 74, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000152.v1,"Folio 74, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000153.v1,"Folio 75, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000154.v1,"Folio 75, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000155.v1,"Folio 76, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000156.v1,"Folio 76, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000157.v1,"Folio 77, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000158.v1,"Folio 77, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000159.v1,"Folio 78, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000160.v1,"Folio 78, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000161.v1,"Folio 79, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000162.v1,"Folio 79, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000163.v1,"Folio 80, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000164.v1,"Folio 80, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000165.v1,"Folio 81, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000166.v1,"Folio 81, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000167.v1,"Folio 82, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000168.v1,"Folio 82, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000169.v1,"Folio 83, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000170.v1,"Folio 83, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000171.v1,"Folio 84, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000172.v1,"Folio 84, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000173.v1,"Folio 85, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000174.v1,"Folio 85, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000175.v1,"Folio 86, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000176.v1,"Folio 86, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000177.v1,"Folio 87, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000178.v1,"Folio 87, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000179.v1,"Folio 88, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000180.v1,"Folio 88, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000181.v1,"Folio 89, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000182.v1,"Folio 89, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000183.v1,"Folio 90, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000184.v1,"Folio 90, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000185.v1,"Folio 91, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000186.v1,"Folio 91, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000187.v1,"Folio 92, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000188.v1,"Folio 92, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000189.v1,"Folio 93, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000190.v1,"Folio 93, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000191.v1,"Folio 94, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000192.v1,"Folio 94, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000193.v1,"Folio 95, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000194.v1,"Folio 95, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000195.v1,"Folio 96, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000196.v1,"Folio 96, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000197.v1,"Folio 97, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000198.v1,"Folio 97, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000199.v1,"Folio 98, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000200.v1,"Folio 98, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000201.v1,"Folio 99, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000202.v1,"Folio 99, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000203.v1,"Folio 100, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000204.v1,"Folio 100, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000205.v1,"Folio 101, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000206.v1,"Folio 101, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000207.v1,"Folio 102, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000208.v1,"Folio 102, verso"
